Date,Value
2019-12-31,117.798
2018-12-31,115.446
2017-12-31,113.174
2016-12-31,111.061
2015-12-31,109.197
2014-12-31,107.466
2013-12-31,105.231
2012-12-31,103.454
2011-12-31,102.311
2010-12-31,100.0
2009-12-31,96.989
2008-12-31,94.876
2007-12-31,91.945
2006-12-31,89.874
2005-12-31,87.372
2004-12-31,85.693
2003-12-31,83.715
2002-12-31,81.94
2001-12-31,79.966
2000-12-31,78.181
1999-12-31,77.562
1998-12-31,75.917
1997-12-31,74.497
1996-12-31,73.195
1995-12-31,71.2
1994-12-31,69.528
1993-12-31,68.73
1992-12-31,67.454
1991-12-31,65.547
1990-12-31,61.425
1989-12-31,57.537
1988-12-31,53.697
1987-12-31,50.695
1986-12-31,48.287
1985-12-31,46.82
1984-12-31,44.365
1983-12-31,42.543
1982-12-31,40.413
1981-12-31,37.676
1980-12-31,33.828
